sigma	clean_top1_agreement	token_repeat_1	token_repeat_16	prompt_repeat_1	prompt_repeat_16
0.0	1.0	1.0	1.0	1.0	1.0
0.001	0.987499992052714	0.9967447916666666	0.998046875	0.9479166666666666	0.96875
0.0025	0.9888888796170553	0.9934895833333334	0.9967447916666666	0.8958333333333334	0.9479166666666666
0.005	0.9826388955116272	0.9765625	0.984375	0.6770833333333334	0.7708333333333334
0.01	0.96875	0.9615885416666666	0.96484375	0.5416666666666666	0.5208333333333334
0.02	0.9541666706403097	0.9036458333333334	0.90625	0.13541666666666666	0.20833333333333334
0.05	0.8881944219271342	0.076171875	0.10286458333333333	0.0	0.0
